"Production Number","Production Name",URL
58256,"Cross - Season 1",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58256&action_productionview2=Submit
58266,"Breed of Greed",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58266&action_productionview2=Submit
58311,"Any Other Way: Jackie Shane Story",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58311&action_productionview2=Submit
58321,"Foundation - Season 3 (Czech Republic)",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58321&action_productionview2=Submit
58330,"Sounds Black",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58330&action_productionview2=Submit
58338,Kodiak,https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58338&action_productionview2=Submit
58346,"Invisibles, The",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58346&action_productionview2=Submit
58393,"Cruel Intentions- Season 1",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58393&action_productionview2=Submit
58398,"Ruby and The Well - Season 3",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58398&action_productionview2=Submit
58403,"Lily & Isaac - Season 3",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58403&action_productionview2=Submit
58406,"How To Die Alone - Season 1",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58406&action_productionview2=Submit
58413,"Unforgettable Christmas",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58413&action_productionview2=Submit
58424,"SkyMed - Season 2",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58424&action_productionview2=Submit
58439,"Everybody Dance",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58439&action_productionview2=Submit
